"importance_rank","importance_tier","importance_score","raw_priority_score","issue_number","title","state","labels","bug_classification","classification_basis","fixability_bucket","theme","ranking_rationale","created_at","updated_at","closed_at"
"1","critical","100","116","727","Leftover removal of ""Mentor Graphics CAMCAD Runtime install"" wants to remove half the Windows registry","open","bug; junk/app detection","bug","upstream bug label","likely fixable in current repo","leftover safety risk","Potentially destructive leftover-removal behavior or false-positive deletion risk. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2025-04-04 15:50:44","2025-04-28 12:16:47",""
"2","critical","97","113","724","Marks all wrong items with Good confidence, all right items with Bad confidence","open","bug; junk/app detection","bug","upstream bug label","likely fixable in current repo","leftover safety risk","Potentially destructive leftover-removal behavior or false-positive deletion risk. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2025-03-30 15:03:55","2025-07-17 14:20:17",""
"3","critical","96","111","520","Uninstaller name ""Update"" causes high confidence Leftover false positives","open","bug; junk/app detection","bug","upstream bug label","likely fixable in current repo","leftover safety risk","Potentially destructive leftover-removal behavior or false-positive deletion risk. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2023-07-14 17:09:13","2023-07-16 19:15:15",""
"4","critical","94","109","552","Launch Error causing freezing, making program unusable: System.Text.Json.JsonException","open","","bug-like","manual triage from title/body","likely fixable in current repo","startup/loading blocker","Crashes, freezes, or blocks core startup/loading flows. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2023-11-07 11:02:32","2024-04-11 17:26:13",""
"5","critical","94","109","793","The program freezes when deleting any application","open","","bug-like","manual triage from title/body","likely fixable in current repo","startup/loading blocker","Crashes, freezes, or blocks core startup/loading flows. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2025-08-27 22:11:00","2025-09-06 22:46:13",""
"6","critical","93","108","866","""The feature you are trying to use is on a network resource that is unavailable."" pop-up window in v6.1.0","open","bug","bug","upstream bug label","likely fixable in current repo","startup/loading blocker","Crashes, freezes, or blocks core startup/loading flows. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2026-03-07 12:59:29","2026-03-07 14:15:16",""
"7","critical","92","106","551","Forever Loading when starting both in standalone and protable ver.","open","","bug-like","manual triage from title/body","likely fixable in current repo","startup/loading blocker","Crashes, freezes, or blocks core startup/loading flows. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2023-11-07 05:04:09","2023-11-08 20:00:01",""
"8","critical","92","106","699","Invalid leftover removal item","open","bug; junk/app detection","bug","upstream bug label","likely fixable in current repo","leftover safety risk","Potentially destructive leftover-removal behavior or false-positive deletion risk. Current audit points to a likely repo-local fix surface.","2025-02-09 08:53:10","2025-02-20 17:59:04",""
"9","critical","88","102","504","BEWARE Portable Apps Deleted","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","leftover safety risk","Potentially destructive leftover-removal behavior or false-positive deletion risk. Current audit suggests a real bug, but it still needs stronger repro data.","2023-06-21 00:51:29","2023-06-25 17:46:15",""
"10","critical","88","102","579","Missing/Broken Msiexec Circumventing CPU Stall Checks","open","bug; automatization","bug","upstream bug label","likely fixable in current repo","uninstall execution blocker","Breaks actual uninstall execution or blocker-process handling. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2024-01-23 19:24:28","2024-02-23 16:25:17",""
"11","critical","86","100","669","BCU wants to close just about every running background program when uninstalling","open","","bug-like","manual triage from title/body","likely fixable in current repo","uninstall execution blocker","Breaks actual uninstall execution or blocker-process handling. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2024-11-21 06:42:37","2025-02-20 17:41:43",""
"12","high","83","96","220","BCUnistaller can not be used in safe mode in windows","open","bug","bug","upstream bug label","maybe fixable / needs repro","startup/loading blocker","Crashes, freezes, or blocks core startup/loading flows. Current audit suggests a real bug, but it still needs stronger repro data.","2018-10-09 12:30:48","2023-03-04 20:31:48",""
"13","high","81","94","734","Almost had to deal with irreparable damage to my computer","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","leftover safety risk","Potentially destructive leftover-removal behavior or false-positive deletion risk. Current audit suggests a real bug, but it still needs stronger repro data.","2025-04-15 05:33:54","2025-04-28 11:51:53",""
"14","high","76","88","86","After BCU blocks system reboot the uninstall progress window stops updating and uninstallers stop running","open","bug; low priority","bug","upstream bug label","maybe fixable / needs repro","startup/loading blocker","Crashes, freezes, or blocks core startup/loading flows. Current audit suggests a real bug, but it still needs stronger repro data. Upstream marked it low priority.","2017-08-06 12:45:25","2023-10-10 20:32:06",""
"15","high","75","86","717","Worked berfore but crash suddendly without any reasons","open","bug","bug","upstream bug label","maybe fixable / needs repro","startup/loading blocker","Crashes, freezes, or blocks core startup/loading flows. Current audit suggests a real bug, but it still needs stronger repro data.","2025-03-03 08:46:42","2025-04-28 13:13:28",""
"16","high","74","85","862","Bug: Orphaned MSI uninstallers only visible as ""System components""","open","","bug-like","manual triage from title/body","likely fixable in current repo","app detection gap","Misses or hides uninstallers in BCU's core discovery flow. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2026-03-06 11:20:15","2026-03-06 19:11:00",""
"17","high","73","84","414","Creating System Restore Point Leads to App Crash","open","cant-reproduce","bug-like","manual triage from title/body","maybe fixable / needs repro","startup/loading blocker","Crashes, freezes, or blocks core startup/loading flows. Current audit suggests a real bug, but it still needs stronger repro data. Upstream could not reproduce it yet.","2022-09-30 09:50:40","2023-03-04 15:05:59",""
"18","high","72","83","816","BCunistaller Ran into some unexpected error","open","cant-reproduce","bug-like","manual triage from title/body","likely fixable in current repo","startup/loading blocker","Crashes, freezes, or blocks core startup/loading flows. Current audit points to a likely repo-local fix surface. Upstream could not reproduce it yet.","2025-11-08 08:26:55","2026-03-02 18:06:09",""
"19","high","71","82","655","Errors on startup","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","startup/loading blocker","Crashes, freezes, or blocks core startup/loading flows. Current audit suggests a real bug, but it still needs stronger repro data.","2024-10-17 06:28:48","2024-11-13 09:23:04",""
"20","high","70","81","683","After changing user rights, BCU does not see the current user's applications","open","","bug-like","manual triage from title/body","likely fixable in current repo","app detection gap","Misses or hides uninstallers in BCU's core discovery flow. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2024-12-06 22:35:46","2025-02-20 17:48:49",""
"21","high","70","81","716","Opera and Opera Air not listed","open","junk/app detection","bug-like","manual triage from title/body","likely fixable in current repo","app detection gap","Misses or hides uninstallers in BCU's core discovery flow. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2025-03-02 17:22:37","2025-11-30 23:23:52",""
"22","medium","69","80","468","Checkboxes on lists bug out and can't be toggled or don't update visually / ""No uninstallers were selected"" bug","open","bug","bug","upstream bug label","likely fixable in current repo","selection/metadata correctness","Wrong selection or metadata can mislead users or block operations. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2023-03-12 18:43:02","2025-10-31 09:50:49",""
"23","medium","69","79","680","(SERIOUS BUG) Bulk Crap Uninstaller FAILS to detect or show up ""Edge Browser"" in the searches for uninstallation. W11.","open","","bug-like","manual triage from title/body","likely fixable in current repo","app detection gap","Misses or hides uninstallers in BCU's core discovery flow. Current audit points to a likely repo-local fix surface.","2024-12-02 03:21:22","2025-02-20 17:46:25",""
"24","medium","67","77","475","BCU window opens but doesnt fully load","open","bug; cant-reproduce","bug","upstream bug label","maybe fixable / needs repro","startup/loading blocker","Crashes, freezes, or blocks core startup/loading flows. Current audit suggests a real bug, but it still needs stronger repro data. Upstream could not reproduce it yet.","2023-03-22 20:36:15","2023-05-21 20:50:17",""
"25","medium","67","77","827","A bug was found in the uninstall from directory feature of the portable version 5.9.0.","open","bug; cant-reproduce","bug","upstream bug label","maybe fixable / needs repro","startup/loading blocker","Crashes, freezes, or blocks core startup/loading flows. Current audit suggests a real bug, but it still needs stronger repro data. Upstream could not reproduce it yet.","2026-02-04 11:57:43","2026-03-02 17:58:53",""
"26","medium","66","76","443","VMWare uninstaller is only shown when you show protected elements","open","junk/app detection; cant-reproduce","bug-like","manual triage from title/body","likely fixable in current repo","app detection gap","Misses or hides uninstallers in BCU's core discovery flow. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list. Upstream could not reproduce it yet.","2023-02-02 01:09:34","2023-10-01 14:34:50",""
"27","medium","66","76","538","Uninstalling as admin leaves app links for users","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","uninstall execution blocker","Breaks actual uninstall execution or blocker-process handling. Current audit suggests a real bug, but it still needs stronger repro data.","2023-09-22 07:52:48","2023-09-27 19:47:40",""
"28","medium","66","76","576","Autodesk Products stuck on user prompt.","open","automatization","bug-like","manual triage from title/body","maybe fixable / needs repro","uninstall execution blocker","Breaks actual uninstall execution or blocker-process handling. Current audit suggests a real bug, but it still needs stronger repro data.","2024-01-11 11:02:18","2024-02-23 16:26:18",""
"29","medium","66","76","775","First launch of an app produces an error (very minor thing)","open","bug","bug","upstream bug label","likely fixable in current repo","startup/loading blocker","Crashes, freezes, or blocks core startup/loading flows. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list. The report itself describes it as minor.","2025-07-08 12:13:54","2025-08-03 17:20:33",""
"30","medium","66","76","788","Edge from yesterday fails to uninstall.","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","uninstall execution blocker","Breaks actual uninstall execution or blocker-process handling. Current audit suggests a real bug, but it still needs stronger repro data.","2025-08-19 02:53:08","2025-09-25 18:47:05",""
"31","medium","66","76","818","cannot uninstall libreoffice and brave  a few times! still there","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","uninstall execution blocker","Breaks actual uninstall execution or blocker-process handling. Current audit suggests a real bug, but it still needs stronger repro data.","2025-12-09 13:17:52","2026-03-02 23:26:09",""
"32","medium","65","75","690","exclude symlink as a program","open","bug; junk/app detection","bug","upstream bug label","likely fixable in current repo","app detection gap","Misses or hides uninstallers in BCU's core discovery flow. Current audit points to a likely repo-local fix surface.","2025-01-08 05:41:53","2025-02-20 17:51:12",""
"33","medium","65","75","781","Filtered for publisher, selected program but BCU says no uninstallers selected","open","","bug-like","manual triage from title/body","likely fixable in current repo","selection/metadata correctness","Wrong selection or metadata can mislead users or block operations. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2025-07-27 11:20:29","2025-08-03 19:19:50",""
"34","medium","64","73","800","some apps dont show up in BCuninstaller List, one example i currently encountered is VMware Workstation","open","","bug-like","manual triage from title/body","likely fixable in current repo","app detection gap","Misses or hides uninstallers in BCU's core discovery flow. Current audit points to a likely repo-local fix surface.","2025-09-25 18:40:26","2025-09-25 18:40:26",""
"35","medium","63","72","792","File size wrong","open","","bug-like","manual triage from title/body","likely fixable in current repo","selection/metadata correctness","Wrong selection or metadata can mislead users or block operations. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2025-08-27 20:03:00","2025-08-27 20:07:44",""
"36","medium","62","71","435","Not fully uninstalling windscribe desktop version","open","bug; cant-reproduce","bug","upstream bug label","maybe fixable / needs repro","uninstall execution blocker","Breaks actual uninstall execution or blocker-process handling. Current audit suggests a real bug, but it still needs stronger repro data. Upstream could not reproduce it yet.","2022-12-14 20:19:44","2023-03-03 20:13:34",""
"37","medium","62","71","784","Install date questionable","open","","bug-like","manual triage from title/body","likely fixable in current repo","selection/metadata correctness","Wrong selection or metadata can mislead users or block operations. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2025-08-05 13:20:47","2025-08-05 13:21:16",""
"38","medium","61","70","314","BCU can't find eclipse ide for java","open","junk/app detection","bug-like","manual triage from title/body","likely fixable in current repo","app detection gap","Misses or hides uninstallers in BCU's core discovery flow. Current audit points to a likely repo-local fix surface.","2021-09-05 09:29:43","2022-02-07 16:29:39",""
"39","medium","61","70","325","Doesn't detect Wave browser to uninstall","open","junk/app detection","bug-like","manual triage from title/body","likely fixable in current repo","app detection gap","Misses or hides uninstallers in BCU's core discovery flow. Current audit points to a likely repo-local fix surface.","2021-11-01 16:02:06","2022-02-07 16:26:59",""
"40","medium","61","70","447","Lots of apps not uninstallable, add an ""run as Admin always"" option?","open","junk/app detection; low priority","bug-like","manual triage from title/body","maybe fixable / needs repro","uninstall execution blocker","Breaks actual uninstall execution or blocker-process handling. Current audit suggests a real bug, but it still needs stronger repro data. Upstream marked it low priority.","2023-02-12 19:59:46","2023-12-13 09:49:19",""
"41","medium","61","70","540","Failed to delete some items","open","","bug-like","manual triage from title/body","likely fixable in current repo","leftover cleanup gap","Leaves junk behind or fails cleanup after uninstall. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2023-09-29 08:08:26","2023-10-01 14:43:57",""
"42","medium","57","65","631","i can't seem to uninstall some stuff, it just kept saying that i needed to turn of uninstall protection","open","wontfix","bug-like","manual triage from title/body","maybe fixable / needs repro","uninstall execution blocker","Breaks actual uninstall execution or blocker-process handling. Current audit suggests a real bug, but it still needs stronger repro data. Upstream labels also reduce current actionability.","2024-08-09 09:45:08","2024-10-26 03:18:13",""
"43","medium","56","64","560","WindowsApps (Microsoft Store)","open","junk/app detection","bug-like","manual triage from title/body","maybe fixable / needs repro","app detection gap","Misses or hides uninstallers in BCU's core discovery flow. Current audit suggests a real bug, but it still needs stronger repro data.","2023-11-21 19:39:53","2023-12-13 09:41:19",""
"44","medium","55","63","418","Add GOG Galaxy support / BC Uninstaller doesn't detect my games from GOG Galaxy","open","junk/app detection","bug-like","manual triage from title/body","maybe fixable / needs repro","app detection gap","Misses or hides uninstallers in BCU's core discovery flow. Current audit suggests a real bug, but it still needs stronger repro data.","2022-10-23 10:03:45","2023-10-01 14:39:36",""
"45","medium","55","63","445","Logitech G Hub uninstallation does not detect leftover files","open","junk/app detection; low priority","bug-like","manual triage from title/body","likely fixable in current repo","leftover cleanup gap","Leaves junk behind or fails cleanup after uninstall. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list. Upstream marked it low priority.","2023-02-04 11:14:03","2023-03-04 20:14:22",""
"46","medium","54","62","316","Does not calculate usage of wsl1 or wsl2 installs","open","junk/app detection","bug-like","manual triage from title/body","maybe fixable / needs repro","app detection gap","Misses or hides uninstallers in BCU's core discovery flow. Current audit suggests a real bug, but it still needs stronger repro data.","2021-09-20 13:00:31","2022-02-07 16:29:25",""
"47","medium","54","62","584","Error due to deleted windows defender folders","open","cant-reproduce","bug-like","manual triage from title/body","likely fixable in current repo","leftover cleanup gap","Leaves junk behind or fails cleanup after uninstall. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list. Upstream could not reproduce it yet.","2024-02-13 08:50:07","2024-05-25 08:37:19",""
"48","medium","54","62","627","Really slow on Windows 11","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","performance/memory issue","Severe performance or memory symptom that still needs profiling/repro. Current audit suggests a real bug, but it still needs stronger repro data.","2024-07-17 14:07:44","2025-11-01 23:39:21",""
"49","medium","54","62","809","Bubble Witch Saga","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","app detection gap","Misses or hides uninstallers in BCU's core discovery flow. Current audit suggests a real bug, but it still needs stronger repro data.","2025-10-12 15:45:16","2026-03-02 18:31:44",""
"50","medium","53","61","644","High DPI Distorts the startup screen","open","","bug-like","manual triage from title/body","likely fixable in current repo","ui/layout regression","Visible UX/layout defect with lower direct operational impact. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2024-09-03 12:41:44","2024-09-03 12:41:44",""
"51","medium","53","60","649","无法扫描出clash和v2ray等翻墙软件","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","app detection gap","Misses or hides uninstallers in BCU's core discovery flow. Current audit suggests a real bug, but it still needs stronger repro data.","2024-09-24 20:13:16","2024-11-13 09:29:49",""
"52","medium","53","60","758","BCUninstaller Removed Shared Settings Folder for Multiple Blender Versions","open","enhancement","bug-like","manual triage from title/body","likely fixable in current repo","leftover cleanup gap","Leaves junk behind or fails cleanup after uninstall. Current audit points to a likely repo-local fix surface.","2025-06-26 04:22:39","2025-06-29 22:46:57",""
"53","medium","51","58","388","why not remove persist scoop when uninstalling package","open","enhancement; junk/app detection","bug-like","manual triage from title/body","maybe fixable / needs repro","app detection gap","Misses or hides uninstallers in BCU's core discovery flow. Current audit suggests a real bug, but it still needs stronger repro data.","2022-07-05 20:36:34","2022-07-18 19:02:41",""
"54","medium","51","58","488","ScriptHelper gets error 59 during deletion","open","bug","bug","upstream bug label","maybe fixable / needs repro","leftover cleanup gap","Leaves junk behind or fails cleanup after uninstall. Current audit suggests a real bug, but it still needs stronger repro data.","2023-05-13 17:44:00","2023-07-31 10:49:26",""
"55","medium","51","58","505","Icons are very small on a high-DPI screen with DPI aware mode enabled","open","bug","bug","upstream bug label","likely fixable in current repo","ui/layout regression","Visible UX/layout defect with lower direct operational impact. Current audit points to a likely repo-local fix surface.","2023-06-24 20:09:35","2023-06-25 17:48:29",""
"56","medium","50","57","558","file picker in ""export data of selected uninstallers"" picks ""desktop"" from other ""user""","open","bug; low priority","bug","upstream bug label","likely fixable in current repo","ui/layout regression","Visible UX/layout defect with lower direct operational impact. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list. Upstream marked it low priority.","2023-11-20 18:11:28","2023-12-07 13:41:03",""
"57","medium","50","57","608","Fresh install of Windows 11 in the EU, BCUninstaller did great but missed Spotify!","open","junk/app detection; low priority","bug-like","manual triage from title/body","maybe fixable / needs repro","app detection gap","Misses or hides uninstallers in BCU's core discovery flow. Current audit suggests a real bug, but it still needs stronger repro data. Upstream marked it low priority.","2024-05-10 12:47:09","2024-05-10 12:55:18",""
"58","medium","50","57","810","Swedish translation causes UI overflow in some windows","open","bug; help wanted; good first issue","bug","upstream bug label","likely fixable in current repo","ui/layout regression","Visible UX/layout defect with lower direct operational impact. Current audit points to a likely repo-local fix surface.","2025-10-14 17:49:14","2026-03-06 08:46:26",""
"59","low","49","56","162","Empty folder after official uninstaller completion is not detected as a leftover","open","junk/app detection; low priority","bug-like","manual triage from title/body","likely fixable in current repo","leftover cleanup gap","Leaves junk behind or fails cleanup after uninstall. Current audit points to a likely repo-local fix surface. Upstream marked it low priority.","2018-01-07 18:36:46","2021-05-06 04:27:38",""
"60","low","49","56","182","Search FileExts for registry junk / Some uTorrent registry leftovers are missed at the leftovers search","open","junk/app detection; low priority","bug-like","manual triage from title/body","likely fixable in current repo","leftover cleanup gap","Leaves junk behind or fails cleanup after uninstall. Current audit points to a likely repo-local fix surface. Upstream marked it low priority.","2018-05-05 22:25:23","2021-05-06 04:27:38",""
"61","low","49","56","509","It still can't recognize the correct name of the software.","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","selection/metadata correctness","Wrong selection or metadata can mislead users or block operations. Current audit suggests a real bug, but it still needs stronger repro data.","2023-07-07 15:38:29","2023-07-07 19:32:14",""
"62","low","49","56","769","When the installer selects a non-English language, the program remains in English after installation if the ""Extra Languages"" option is unchecked","open","enhancement","bug-like","manual triage from title/body","likely fixable in current repo","ui/layout regression","Visible UX/layout defect with lower direct operational impact. Current audit points to a likely repo-local fix surface. Already in the audit's high-confidence validation list.","2025-07-02 08:05:23","2025-07-02 08:10:21",""
"63","low","49","56","779","Error: File doesn't exist (it does)","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","selection/metadata correctness","Wrong selection or metadata can mislead users or block operations. Current audit suggests a real bug, but it still needs stronger repro data.","2025-07-17 14:15:32","2026-03-04 09:09:39",""
"64","low","49","56","780","Different information: size application ffmpeg nighlty (via scoop)","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","selection/metadata correctness","Wrong selection or metadata can mislead users or block operations. Current audit suggests a real bug, but it still needs stronger repro data.","2025-07-23 07:59:01","2025-08-03 22:29:39",""
"65","low","49","56","794","BCU thinks a folder is an application as namee Revo Uninstaller","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","selection/metadata correctness","Wrong selection or metadata can mislead users or block operations. Current audit suggests a real bug, but it still needs stronger repro data.","2025-08-31 14:50:57","2025-09-04 09:32:10",""
"66","low","49","56","807","Incorrect publisher info for a game","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","selection/metadata correctness","Wrong selection or metadata can mislead users or block operations. Current audit suggests a real bug, but it still needs stronger repro data.","2025-10-10 10:40:16","2026-03-02 18:33:15",""
"67","low","48","55","494","Out of memory.","open","cant-reproduce","bug-like","manual triage from title/body","maybe fixable / needs repro","performance/memory issue","Severe performance or memory symptom that still needs profiling/repro. Current audit suggests a real bug, but it still needs stronger repro data. Upstream could not reproduce it yet.","2023-05-21 18:18:23","2023-05-22 07:48:51",""
"68","low","47","54","499","Incomplete removal","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","leftover cleanup gap","Leaves junk behind or fails cleanup after uninstall. Current audit suggests a real bug, but it still needs stronger repro data.","2023-06-02 04:04:27","2023-06-14 10:44:23",""
"69","low","47","54","534","Unable to delete registry","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","leftover cleanup gap","Leaves junk behind or fails cleanup after uninstall. Current audit suggests a real bug, but it still needs stronger repro data.","2023-09-08 04:54:14","2023-09-27 19:40:05",""
"70","low","47","54","561","Leftovers still present on the system","open","junk/app detection","bug-like","manual triage from title/body","maybe fixable / needs repro","leftover cleanup gap","Leaves junk behind or fails cleanup after uninstall. Current audit suggests a real bug, but it still needs stronger repro data.","2023-11-22 15:17:46","2023-12-17 16:45:04",""
"71","low","47","54","647","Whenever cleaning up Program Files folders, I get this message","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","leftover cleanup gap","Leaves junk behind or fails cleanup after uninstall. Current audit suggests a real bug, but it still needs stronger repro data.","2024-09-11 17:58:24","2024-11-15 14:48:50",""
"72","low","47","54","714","Desktop Icon Missing","open","","bug-like","manual triage from title/body","likely fixable in current repo","ui/layout regression","Visible UX/layout defect with lower direct operational impact. Current audit points to a likely repo-local fix surface.","2025-02-27 14:39:05","2025-04-28 12:36:19",""
"73","low","47","54","725","the application is not uninstalling games properly","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","leftover cleanup gap","Leaves junk behind or fails cleanup after uninstall. Current audit suggests a real bug, but it still needs stronger repro data.","2025-04-02 02:11:03","2025-04-28 12:18:20",""
"74","low","47","54","728","删除雷电模拟器，仍然存在相关的文件夹残留","open","junk/app detection","bug-like","manual triage from title/body","maybe fixable / needs repro","leftover cleanup gap","Leaves junk behind or fails cleanup after uninstall. Current audit suggests a real bug, but it still needs stronger repro data.","2025-04-05 03:19:12","2025-04-28 12:08:13",""
"75","low","45","51","436","Interesting application relationship detection issue","open","bug; cant-reproduce","bug","upstream bug label","maybe fixable / needs repro","selection/metadata correctness","Wrong selection or metadata can mislead users or block operations. Current audit suggests a real bug, but it still needs stronger repro data. Upstream could not reproduce it yet.","2022-12-27 14:07:38","2023-03-03 20:12:57",""
"76","low","44","50","682","Bad scrolling animations","open","bug","bug","upstream bug label","maybe fixable / needs repro","ui/layout regression","Visible UX/layout defect with lower direct operational impact. Current audit suggests a real bug, but it still needs stronger repro data.","2024-12-05 10:40:34","2026-01-13 01:59:15",""
"77","low","43","49","465","How can i fix this?","open","cant-reproduce","bug-like","manual triage from title/body","maybe fixable / needs repro","selection/metadata correctness","Wrong selection or metadata can mislead users or block operations. Current audit suggests a real bug, but it still needs stronger repro data. Upstream could not reproduce it yet.","2023-03-10 19:52:27","2023-03-30 20:43:35",""
"78","low","43","49","571","Cant deinstall IOBIT Uninstaller","open","","bug-like","manual triage from title/body","not currently actionable from this repo","uninstall execution blocker","Breaks actual uninstall execution or blocker-process handling. Current audit suggests low actionability from this repo alone.","2023-12-07 08:06:51","2023-12-07 13:37:17",""
"79","low","42","48","198","Inno Setup leftovers","open","junk/app detection; low priority","bug-like","manual triage from title/body","maybe fixable / needs repro","leftover cleanup gap","Leaves junk behind or fails cleanup after uninstall. Current audit suggests a real bug, but it still needs stronger repro data. Upstream marked it low priority.","2018-06-27 23:39:17","2021-05-06 04:26:50",""
"80","low","41","46","691","[Feature Request/Bug] Text becomes unreadable with Rectify11 dark theme; request for customizable text color | 使用 rectify11 深色主题后字体无法查看，希望增加自定义文字颜色功能","open","","bug-like","manual triage from title/body","maybe fixable / needs repro","ui/layout regression","Visible UX/layout defect with lower direct operational impact. Current audit suggests a real bug, but it still needs stronger repro data.","2025-01-10 06:58:27","2025-01-15 00:38:21",""
"81","low","38","43","821","Some installations still in registry, disk(file/directory)","open","invalid","bug-like","manual triage from title/body","maybe fixable / needs repro","leftover cleanup gap","Leaves junk behind or fails cleanup after uninstall. Current audit suggests a real bug, but it still needs stronger repro data. Upstream labels also reduce current actionability.","2025-12-18 11:50:57","2026-03-02 18:01:02",""
"82","low","36","40","628","I encountered an issue","open","","bug-like","manual triage from title/body","not currently actionable from this repo","startup/loading blocker","Crashes, freezes, or blocks core startup/loading flows. Current audit suggests low actionability from this repo alone.","2024-07-19 11:45:21","2024-08-21 12:51:29",""
"83","low","9","9","495","BCUninstaller.dll: System.EntryPointNotFoundException error ","open","","bug-like","manual triage from title/body","not currently actionable from this repo","external/compatibility issue","Real symptom, but mostly blocked by unsupported platforms or external reputation/tooling. Current audit suggests low actionability from this repo alone.","2023-05-22 13:26:09","2023-06-14 10:38:38",""
"84","low","9","9","752","Version v4.16 not running under Windows XP","open","","bug-like","manual triage from title/body","not currently actionable from this repo","external/compatibility issue","Real symptom, but mostly blocked by unsupported platforms or external reputation/tooling. Current audit suggests low actionability from this repo alone.","2025-06-01 22:23:58","2025-06-29 22:39:59",""
"85","low","0","-2","770","Antivirus flagging latest BCU release as Trojan:Script/Wacatac.H!ml","open","wontfix","bug-like","manual triage from title/body","not currently actionable from this repo","external/compatibility issue","Real symptom, but mostly blocked by unsupported platforms or external reputation/tooling. Current audit suggests low actionability from this repo alone. Upstream labels also reduce current actionability.","2025-07-02 11:11:51","2025-10-20 14:38:26",""
