"number","title","state","labels","bug_classification","classification_basis","created_at","updated_at","closed_at","body"
"644","High DPI Distorts the startup screen","open","","bug-like","manual triage from title/body","2024-09-03 12:41:44","2024-09-03 12:41:44","","I have a PC I use with TV. If I start BCUninstaller, the startup configuration screen which scrolls from right to left, scrolls of an amount not sufficient to move to the next panel. It seems the outer frame and the inner panel go out of sync regarding size.

![image](https://github.com/user-attachments/assets/4e442330-4db7-4fad-a50e-d603daa57c2b)
"
"647","Whenever cleaning up Program Files folders, I get this message","open","","bug-like","manual triage from title/body","2024-09-11 17:58:24","2024-11-15 14:48:50","","I apologize if someone else brought this up. I did search but couldn't find anything.

Whenever I run the Clean Up Program Files Folder....

![Screenshot 2024-09-11 135426](https://github.com/user-attachments/assets/3744081c-cb2d-4c59-9d1f-6c0eb4c56899)

I get this message from Windows, even if run as an admin.

![Screenshot 2024-09-11 135453](https://github.com/user-attachments/assets/f5b40945-3353-4f42-8c45-6af6d64b9104)
"
"649","无法扫描出clash和v2ray等翻墙软件","open","","bug-like","manual triage from title/body","2024-09-24 20:13:16","2024-11-13 09:29:49","","实际使用中发现这个软件无法扫描出clash和v2ray等翻墙软件，希望能够加以修复"
"655","Errors on startup","open","","bug-like","manual triage from title/body","2024-10-17 06:28:48","2024-11-13 09:23:04","","I keep getting errors on startup using the portable version. This only started with the new version. I tried the 64bit only and the 32bit only. It seems the errors are on the 64bit version only. This happens 3 times then goes on to complete (I hope) 
![Image2](https://github.com/user-attachments/assets/3e47e6cb-e98f-49ef-b09b-5ba5d4873145)
"
"669","BCU wants to close just about every running background program when uninstalling","open","","bug-like","manual triage from title/body","2024-11-21 06:42:37","2025-02-20 17:41:43","","I've used BCU for years and when it gets to the ""kill tasks"" part, it always only wants you to close out of relevant programs. After updating to 5.8.2 from I have no idea what version I was on before, it now wants me to kill just about every program under the sun when uninstalling things that are completely unrelated to it. I wanted to uninstall a file compare tool that I only wanted to use once and didn't need anymore (which I've used and uninstalled with BCU before in the past), and it wants to kill literally every single program I have running, whether it be firefox, to everything (the search program), to Nvidia background stuff, to Discord, MSI afterburner, Steam, windows explorer, down to my damn UPS software, pretty much just open task manager and anything in there that isn't imperative to windows usage, it's in the ""kill"" list.

I'm not sure if this is intentional, but I find it really odd that it does that now when it didn't before so I can only assume it's an unintentional bug."
"680","(SERIOUS BUG) Bulk Crap Uninstaller FAILS to detect or show up ""Edge Browser"" in the searches for uninstallation. W11.","open","","bug-like","manual triage from title/body","2024-12-02 03:21:22","2025-02-20 17:46:25","","(SERIOUS BUG) Bulk Crap Uninstaller FAILS to detect or show up ""Edge Browser"" in the searches for uninstallation thus killing the purpose behind 3rd party uninstallers (since uninstalling a program feature exists within Windows settings itself). Seen this with other system proprietary bloatware that comes out of the box with Windows.

![image](https://github.com/user-attachments/assets/ca8b604f-c2a0-4dfe-8cec-cfab3e60ae2d)



"
"682","Bad scrolling animations","open","bug","bug","upstream bug label","2024-12-05 10:40:34","2026-01-13 01:59:15","","Its pretty choppy and slow

https://github.com/user-attachments/assets/075d68ce-5396-445d-980c-4bea1813c112

Windows 11 23H2"
"683","After changing user rights, BCU does not see the current user's applications","open","","bug-like","manual triage from title/body","2024-12-06 22:35:46","2025-02-20 17:48:49","","Hello.
The situation was like this on Windows.
Installed BCU on an account with administrator rights (ADMIN). Then I decided to create a new account (ADMIN2) with administrator rights. And give the ADMIN account the rights of a regular user. 
That is, it turned out like this:
ADMIN (BCU is installed on it) - normal user rights 
ADMIN2 - administrator rights

Now when I launch BCU on the ADMIN account, I do not see any new installed programs. 
Perhaps the problem is that due to the change in rights, most programs are now installed in a different directory.
At the same time, even in the ADMIN2 account, BCU also does not see new programs.

Tell me how to fix this problem?
In advance, thank you for your help!"
"690","exclude symlink as a program","open","bug; junk/app detection","bug","upstream bug label","2025-01-08 05:41:53","2025-02-20 17:51:12","","bcuninstaller recognizes symlink as an exe and causes duplicate uninstallable item"
"691","[Feature Request/Bug] Text becomes unreadable with Rectify11 dark theme; request for customizable text color | 使用 rectify11 深色主题后字体无法查看，希望增加自定义文字颜色功能","open","","bug-like","manual triage from title/body","2025-01-10 06:58:27","2025-01-15 00:38:21","","## Description
After enabling the [Rectify11](https://github.com/Rectify11/Installer) dark theme, some text becomes unreadable. Even with colorblind mode enabled, certain text remains difficult to view. It would be great to add an option to customize text colors or improve the dark theme's functionality.

## Environment
System: Windows 11 24H2
Version: 5.8.2.0

## Screenshots
![image](https://github.com/user-attachments/assets/8f653c67-9012-4723-8e31-15f9f6e4bd33)

---

## 描述
当我启用 [rectify11](https://github.com/Rectify11/Installer) 深色主题后，会导致文字无法查看，即使打开色盲模式部分文字仍然无法查看，希望增加自定义文字颜色或增加深色主题功能

## 环境
- 系统: windows 11 24h2
- 版本: 5.8.2.0"
"699","Invalid leftover removal item","open","bug; junk/app detection","bug","upstream bug label","2025-02-09 08:53:10","2025-02-20 17:59:04","","![Image](https://github.com/user-attachments/assets/fc041de5-2aa1-4c2d-80a8-1d8463d27200)

I was trying to uninstall [Malwarebytes](https://www.malwarebytes.com/) and somehow Minecraft was on the leftover removal list with good confidence"
"714","Desktop Icon Missing","open","","bug-like","manual triage from title/body","2025-02-27 14:39:05","2025-04-28 12:36:19","","The last update brought an error, the icon does not appear as seen in the image

![Image](https://github.com/user-attachments/assets/e6d8fcbb-7961-456b-a05d-631ed211aebf)"
"716","Opera and Opera Air not listed","open","junk/app detection","bug-like","manual triage from title/body","2025-03-02 17:22:37","2025-11-30 23:23:52","","I have both the browsers Opera and Opera Air installed on Windows 11 Enterprise. Neither of these is listed in Bulk Crap Uninstaller, even if I have set the application to list all entries. Interestingly, Chrome and Edge do show up in the list. Any ideas?"
"717","Worked berfore but crash suddendly without any reasons","open","bug","bug","upstream bug label","2025-03-03 08:46:42","2025-04-28 13:13:28","","Hi
I used BCU normally but, without explanations, I launched it yesterday and it crashed after having compiled all drives (the windows closes and I can't make it works again)

Could you help please ? 

Here's the log 

[BCUninstaller.log](https://github.com/user-attachments/files/19050531/BCUninstaller.log)"
"724","Marks all wrong items with Good confidence, all right items with Bad confidence","open","bug; junk/app detection","bug","upstream bug label","2025-03-30 15:03:55","2025-07-17 14:20:17","","![Image](https://github.com/user-attachments/assets/c19b8608-9ec8-4b37-9ec8-dcb91e660729)

Above is the leftover cleanup screen after uninstalling ExpressVPN. BCU has marked JDownloader, Mozilla, Zotero, Microsoft Office, Cloudflare as ""Good"" and ""Very good"" confidence.

Right-clicking and selecting Details reveals ""Name matched perfectly"" as the reason:

![Image](https://github.com/user-attachments/assets/b280c98c-8ff9-4035-82be-acef2b6dac6a)

I struggle to see how ""JDownloader"" matches ""ExpressVPN"" when the two don't have a single character sequence in common.

Funnily enough the only thing marked with ""Bad"" confidence is... ExpressVPN. I more or less had to invert my selection from BCU's recommendation before proceeding with the cleanup.

Why is this happening? What's the logic behind BCU (seemingly) doing the exact opposite of what it should be doing?"
"725","the application is not uninstalling games properly","open","","bug-like","manual triage from title/body","2025-04-02 02:11:03","2025-04-28 12:18:20","","i tried to un install saints row gat outta hell and after un installations the game file still there please need help "
"727","Leftover removal of ""Mentor Graphics CAMCAD Runtime install"" wants to remove half the Windows registry","open","bug; junk/app detection","bug","upstream bug label","2025-04-04 15:50:44","2025-04-28 12:16:47","","While uninstalling my PADS VX.2.12, I came across a massive list of supposed leftovers that allegedly have all good confidence - which are definitely unaffiliated with that tool.
Examples include:

![Image](https://github.com/user-attachments/assets/9389329a-e6bc-4b5f-ab6a-63fc93d9af20)

![Image](https://github.com/user-attachments/assets/e42ded9a-5218-4952-a599-de6163bb5157)

(it would clear out everything of HKLM/Software/Classes)
![Image](https://github.com/user-attachments/assets/372137bd-de87-4d9c-aa7a-204bc4762186)

![Image](https://github.com/user-attachments/assets/35443861-7a25-4d62-9e54-420bc601a5b9)

![Image](https://github.com/user-attachments/assets/ad23bd5e-363b-4fc7-a369-f7fbe0d93d8f)

This registry edit would be catastrophic if left checked."
"728","删除雷电模拟器，仍然存在相关的文件夹残留","open","junk/app detection","bug-like","manual triage from title/body","2025-04-05 03:19:12","2025-04-28 12:08:13","","![Image](https://github.com/user-attachments/assets/8faa500d-6af8-4ed7-8d38-4e8e86b3f8f7)"
"734","Almost had to deal with irreparable damage to my computer","open","","bug-like","manual triage from title/body","2025-04-15 05:33:54","2025-04-28 11:51:53","","I tried to uninstall an audio plugin to solve a problem I had with registration, and while trying do a deep clean after, it ended up suggesting I delete a long list of registry keys. Some of them looked legit so I went on with it, but I didn't notice there were MANY more than I expected. It actually deleted so many stuff I couldn't access any audio controllers, many apps that are not even remotely related to the one I uninstalled became inaccessible, even 7zip didn't work properly. It also didn't make a restore point when it said it did. I was using the portable version a lot before, I used the newest version now and it was a complete train wreck, nothing like what I experienced before.

I had a restore point from a Windows update that solved the problem for me, luckily enough, but this was a serious problem that could have made me unable to do my daily job and impact my life seriously for a while. I won't share more info at this point because I don't know if I'm being extremely dumb or didn't read something vital (I think I did) or something so I'll wait to see about that before giving more details, if someone cares enough to help. If this qualifies as just a complaint I'm sorry, I still just want to share a really bad user experience I just had so at least I can understand how this came out so wrong. Thank you."
"752","Version v4.16 not running under Windows XP","open","","bug-like","manual triage from title/body","2025-06-01 22:23:58","2025-06-29 22:39:59","","I have a VM with Windows XP running, because of the usage of old programs / games.
I want to use [v4.16](https://github.com/Klocman/Bulk-Crap-Uninstaller/releases/tag/v4.16), but it dont work, because BCUninstaller_4.16_setup.exe is not a valid Win32 application."" Portable not running, too."
"758","BCUninstaller Removed Shared Settings Folder for Multiple Blender Versions","open","enhancement","bug-like","manual triage from title/body","2025-06-26 04:22:39","2025-06-29 22:46:57","","Hello,

I tried BCUninstaller for a while and it was very good, but I encountered an issue. I had both Blender versions 4.2 and 4.4 installed. I used the program to uninstall version 4.4, and it was precise in the uninstallation. However, the problem I faced is that it deleted the settings located at:

> `..\AppData\Roaming\Blender Foundation\Blender\`

It should have only removed the settings for Blender 4.4 and not treated the settings folders for each version as a single entry in the junk/leftover list.

**Suggestions to improve the accuracy of handling leftovers after uninstallation:**

1. Add an option to install programs through BCUninstaller while monitoring file and registry changes during the installation.

2. Add a registry cleaner feature to manually clean leftovers without needing to uninstall the program. This would be useful in cases where the program was uninstalled normally (without using any uninstaller tool)."
"769","When the installer selects a non-English language, the program remains in English after installation if the ""Extra Languages"" option is unchecked","open","enhancement","bug-like","manual triage from title/body","2025-07-02 08:05:23","2025-07-02 08:10:21","","![Image](https://github.com/user-attachments/assets/1cce13da-062a-40b2-ad82-5e5f944c0d2e)

When the installer selects Chinese as the installation language and the ""Extra Languages"" option is unchecked, the program will only be in English after installation, rather than the language selected during setup. This is somewhat counterintuitive.

It is recommended that when selecting the installation language, if a non-English language is chosen, the default built-in language should be the selected language instead of English. If the English language pack is a necessary component of the program, it is suggested that even when the ""Extra Languages"" option is unchecked, the selected installation language can still be installed simultaneously."
"770","Antivirus flagging latest BCU release as Trojan:Script/Wacatac.H!ml","open","wontfix","bug-like","manual triage from title/body","2025-07-02 11:11:51","2025-10-20 14:38:26","","i'm encountering an issue where my antivirus is flagging the installer as a trojan. its my first time installing the software after downloading the latest release from github. can someone please confirm if this is just a false positive or why this is happening?"
"775","First launch of an app produces an error (very minor thing)","open","bug","bug","upstream bug label","2025-07-08 12:13:54","2025-08-03 17:20:33","","Hi, weren't able to find this issue through the search, so here you go. It's a minor thing, doesn't hinder the functionality, but still.
Just installed BCU for the first time and received an error right after the launch.

```
BCUninstaller, Version=5.9.0.0, Culture=neutral, PublicKeyToken=null | MSIL | Microsoft Windows NT 10.0.26100.0 | 64bit
Please note that uninstall lists are saved in the ""Advanced filtering"" view, not by exporting. Lists should have the .bcul extension.

Error message: There is an error in XML document (1, 1).
```

I closed the app and launched it again and received the same error. Now I closed it and proceeded to finish the initial setup. After that, the error never occurred again."
"779","Error: File doesn't exist (it does)","open","","bug-like","manual triage from title/body","2025-07-17 14:15:32","2026-03-04 09:09:39","","Was trying to uninstall a package I installed through WinGet and encountered the following problem:

<img width=""1444"" height=""398"" alt=""Image"" src=""https://github.com/user-attachments/assets/358a3cb3-962c-43a4-bbfd-5c52154762f6"" />

That is despite the file being there:

```shell
> Get-Item 'C:\Program Files (x86)\WinGet\Packages\mikf.gallery-dl_Microsoft.Winget.Source_8wekyb3d8bbwe\gallery-dl.exe'


    Directory: C:\Program Files (x86)\WinGet\Packages\mikf.gallery-dl_Microsoft.Winget.Source_8wekyb3d8bbwe


Mode                 LastWriteTime         Length Name
----                 -------------         ------ ----
-a----        2025-06-22     13:15       21818829 gallery-dl.exe
```"
"780","Different information: size application ffmpeg nighlty (via scoop)","open","","bug-like","manual triage from title/body","2025-07-23 07:59:01","2025-08-03 22:29:39","","<img width=""938"" height=""84"" alt=""Image"" src=""https://github.com/user-attachments/assets/f91be365-dc5d-4555-871a-6052b04316fc"" />

<img width=""874"" height=""490"" alt=""Image"" src=""https://github.com/user-attachments/assets/05808837-0c32-4139-b9b8-ce5aa4f15d7a"" />

BCUninstaller version 5.9.0
Windows 11"
"781","Filtered for publisher, selected program but BCU says no uninstallers selected","open","","bug-like","manual triage from title/body","2025-07-27 11:20:29","2025-08-03 19:19:50","","I have just installed BCU.  I filtered for a publisher and filled in the name. I ticked the box and pressed Uninstall. I get a popup box saying No uninstallers were selected, nothing to uninstall.

I tried deleting the filter text but I keep getting the message pop up box.

I closed BCU then reopened. I did not use a filter selected my program directly and it uninstalled it without a problem."
"784","Install date questionable","open","","bug-like","manual triage from title/body","2025-08-05 13:20:47","2025-08-05 13:21:16","","Hi, 

Today, 5 Aug, I was testing BCU by installing a couple of steam games which I was then going to remove. After installation I sorted the BCU list view by descending Install date, expecting to see the latest games at, or at least near, to the top of the list. In fact I had to scroll down several pages before I got to them, and noticed that the install date column reported the games as being installed yesterday.

In addition, there seemed to be many entries dated 4 Aug which were actually installed considerably before then. Seems that Install date is not a reliable indicator of when the app was, well, installed!"
"788","Edge from yesterday fails to uninstall.","open","","bug-like","manual triage from title/body","2025-08-19 02:53:08","2025-09-25 18:47:05","","Hey, boss!! First off, I wanted to give you a hearty thank you for a new update! Deeply, deeply appreciate your efforts in keeping this ball rolling! I probably would have quit Windows by now if not for you. :)

That said, it seems that Micro$oft is on the ball. The version of Edge they released yesterday fails standard uninstall. I mean, zero shock.. I just wanted to share the info. :)

<img width=""1311"" height=""1050"" alt=""Image"" src=""https://github.com/user-attachments/assets/cfd7a6bb-5aa2-4ec5-91aa-de52b0b5142d"" />"
"792","File size wrong","open","","bug-like","manual triage from title/body","2025-08-27 20:03:00","2025-08-27 20:07:44","","Bulk Crap Uninstaller says that the size of Music Maker (musicmaker.exe) is 468 GB. In fact, it's 6 MB. It's only the installation program, not the installed program. CHKDSK confirms that there's no problem with the file system.

Windows 10, version 10.0.19045.6218. The disk is formatted with NTFS.

<img width=""1427"" height=""574"" alt=""Image"" src=""https://github.com/user-attachments/assets/4bc2ff99-f60b-4233-9972-503336d456b1"" />


<img width=""471"" height=""523"" alt=""Image"" src=""https://github.com/user-attachments/assets/33b08bb3-fe8e-4dad-a21d-b94a0a344d43"" />"
"793","The program freezes when deleting any application","open","","bug-like","manual triage from title/body","2025-08-27 22:11:00","2025-09-06 22:46:13","","When installing any version of this application, the program freezes when deleting any application, how to fix the problem? Windows 11"
"794","BCU thinks a folder is an application as namee Revo Uninstaller","open","","bug-like","manual triage from title/body","2025-08-31 14:50:57","2025-09-04 09:32:10","","I have a folder called softwares. I have all types on installations files in this folder. When I was using BCU it shows ( Revo Uninstaller) as having 25 GB file size. Even after I uninstalled Revo uninstaller , it still showed Revo uninstaller as 25 Gb still there. So when I tried to process with uninstallation any way it was trying to uninstall files and folders from the Software folder I had. My revo uninstaller wasn't even installed in this folder .  I think this is a bug or something 

<img width=""1919"" height=""610"" alt=""Image"" src=""https://github.com/user-attachments/assets/c0d81337-c621-4e95-976a-95711d70b333"" />

<img width=""1919"" height=""923"" alt=""Image"" src=""https://github.com/user-attachments/assets/a366b1b4-44fc-4b10-9dc8-1e699f005153"" />"
"800","some apps dont show up in BCuninstaller List, one example i currently encountered is VMware Workstation","open","","bug-like","manual triage from title/body","2025-09-25 18:40:26","2025-09-25 18:40:26","","here is the current app location for VMware, C:\Program Files (x86)\VMware\VMware Workstation\vmware.exe

VMware shows normally in windows settings - apps - uninstall Apps

what info is needed so that i can help more?"
"807","Incorrect publisher info for a game","open","","bug-like","manual triage from title/body","2025-10-10 10:40:16","2026-03-02 18:33:15","","Hi

I have noticed that the following game has the incorrect publisher in BCUninstaller:

乡村狂想曲 | GitHub, Inc. | 1.0.0 | 2025/09/21 | 1,25 GB |  | Steam | ""C:\Users\Gabri\Downloads\BCUninstaller_5.9.0_portable\win-x64\SteamHelper.exe"" uninstall 2109460 | ""C:\Users\Gabri\Downloads\BCUninstaller_5.9.0_portable\win-x64\SteamHelper.exe"" uninstall /silent 2109460 | 

The publisher I believe is YooGames.

Please let me know how I can help fixing this issue.

(P.s. I am not affiliated, just a cautious user)"
"809","Bubble Witch Saga","open","","bug-like","manual triage from title/body","2025-10-12 15:45:16","2026-03-02 18:31:44","","Those three words: Bubble Witch Saga

I was pointed to BCU when I asked how to uninstall Msft's very large nuisance game things.

Along with Candy Crush, Magic Kingdom, etcetera etcetera etcetera 

Unfortunately, no luck.

Possible?"
"810","Swedish translation causes UI overflow in some windows","open","bug; help wanted; good first issue","bug","upstream bug label","2025-10-14 17:49:14","2026-03-06 08:46:26","","Hi, I've noticed that the Swedish translation in BCUninstaller occasionally causes text to overflow or extend beyond the boundaries of certain UI elements. This typically happens in dialog boxes or settings windows where the translated strings are longer than their English counterparts.

Expected behavior: Text should be truncated, wrapped, or the UI should resize to accommodate longer translations.

Additional context: This issue affects readability and usability for Swedish-speaking users. Let me know if you'd like help identifying specific strings or suggesting shorter alternatives.

Screenshots:

<img width=""712"" height=""978"" alt=""Image"" src=""https://github.com/user-attachments/assets/b82213ea-e35f-43fa-99de-7428fee38634"" />

<img width=""920"" height=""1136"" alt=""Image"" src=""https://github.com/user-attachments/assets/ffe6b533-8cc9-4c00-a3e3-b442a7f0eeeb"" />"
"816","BCunistaller Ran into some unexpected error","open","cant-reproduce","bug-like","manual triage from title/body","2025-11-08 08:26:55","2026-03-02 18:06:09","","BCUninstaller, Version=5.9.0.0, Culture=neutral, PublicKeyToken=null | MSIL | Microsoft Windows NT 10.0.26100.0 | 64bit
Please note that uninstall lists are saved in the ""Advanced filtering"" view, not by exporting. Lists should have the .bcul extension.

Error message: There is an error in XML document (0, 0)."
"818","cannot uninstall libreoffice and brave  a few times! still there","open","","bug-like","manual triage from title/body","2025-12-09 13:17:52","2026-03-02 23:26:09","","can't uninstall as the programs show up with full size after uninstall!"
"821","Some installations still in registry, disk(file/directory)","open","invalid","bug-like","manual triage from title/body","2025-12-18 11:50:57","2026-03-02 18:01:02","","Some installations still in registry, disk(file/directory) after uninstall."
"827","A bug was found in the uninstall from directory feature of the portable version 5.9.0.","open","bug; cant-reproduce","bug","upstream bug label","2026-02-04 11:57:43","2026-03-02 17:58:53","","When using the portable version 5.9.0's directory uninstallation feature, I found that the file selection menu would become unresponsive and fail to pop up, causing the entire software to appear frozen or crashed, which is quite frustrating.
I hope this bug can be fixed soon!"
"862","Bug: Orphaned MSI uninstallers only visible as ""System components""","open","","bug-like","manual triage from title/body","2026-03-06 11:20:15","2026-03-06 19:11:00","","I installed in the past various Python versions in Win10 via the corresponding *.msi package. 
All into the same directory C:\Program Files\Python
and without manually uninstalling the previous versions.

Unfortunately the old Uninstaller entries survive as orphaned Uninstall entries in Registry.

I want to delete them via BCU

Strangely enough these old Uninstall entries are only visible when I tick checkbox ""Show system components"".
See attached snapshot 1

When I disable it then only 2 entries are shown.

Why?

Python is NOT a windows (=system) component.

How can I force BCU to show only orphaned uninstall entries?

<img width=""1801"" height=""779"" alt=""Image"" src=""https://github.com/user-attachments/assets/fdde2ffc-1a5d-4ae9-8a35-f2a21a4de7f0"" />
<img width=""1801"" height=""779"" alt=""Image"" src=""https://github.com/user-attachments/assets/310e4700-7864-45d1-8b5a-b0dd243d992e"" />
"
"866","""The feature you are trying to use is on a network resource that is unavailable."" pop-up window in v6.1.0","open","bug","bug","upstream bug label","2026-03-07 12:59:29","2026-03-07 14:15:16","","On some systems a pop-up message might appear one or more times during initial application search asking for a network resource path. Closing the window lets BCU continue to load with no ill effects, so it's merely an annoyment.

Previous discussion https://github.com/Klocman/Bulk-Crap-Uninstaller/issues/860#issuecomment-4016337363

> This is the dialogue in question:
> 
> Windows Installer
>
>The feature you are trying to use is on a network resource that is unavailable.
>
>Click OK to try again, or enter an alternate path to a folder containing the installation package 'vba6.msi' in the box below.
>
>Use source:
>X:\PLACEHOLDER
> 
> Eventually, BCU loaded. The dialogue does not appear anymore.
> Do you know how and why it took such a long time and doesn't reappear?
> 
> Many thanks! 

> @piknockyou Then it is specifically a v6.1 issue, it's caused by Msiexec enumeration as I've mentioned. It takes a long time for the same reason I bet.
> 
> I thought I avoided the ""network resource unavailable"" pop-up but I guess it still can happen, I guess you installed some application to a network drive?
> 
> Does the pop-up appear after closing and restarting BCU? If it doesn't appear then it's triggered by https://github.com/Klocman/Bulk-Crap-Uninstaller/blob/05f2c74a9c2615be16c1e30f4e6ab5bdc7f25a51/source/KlocTools/IO/MsiTools.cs#L122 but if it does appear it's probably triggered by  https://github.com/Klocman/Bulk-Crap-Uninstaller/blob/05f2c74a9c2615be16c1e30f4e6ab5bdc7f25a51/source/KlocTools/IO/MsiTools.cs#L224

It might be necessary to forgo using these APIs altogether and access the Msiexec database directly to avoid this issue. If anyone has any good ideas on how to solve this, please do let me know or even better make a PR."
